number,commit_sha,methods_changed,methods_impacted,classes_changed,classes_impacted
0,90de20c,0,0,0,68
1,786d994,0,0,4,5
2,7410e99,2,3,1,30
3,3166c80,0,0,0,0
4,f4a8da6,0,0,0,0
5,10eeaf3,12,20,3,12
6,280ffac,14,31,5,32
7,7d065cc,32,42,12,36
8,f885ac5,3,2,2,33
9,e40a6e2,31,25,5,41
10,d254881,57,65,5,43
11,76e1e8e,9,11,1,1
12,4281920,1,2,1,1
13,3ee89c5,18,15,9,36
14,78ffb0a,18,16,3,33
15,bc597d6,0,0,15,41
16,5c1c9d1,3,4,5,37
17,4b3ea58,0,0,0,0
18,8a0a6b1,0,0,0,0
19,f0c1150,8,11,5,40
